"eta","max_depth","max_delta_step","subsample","colsample_bytree","best_itr","best_auc"
0.0239628808223642,6,2,0.842479162050877,0.541884268654976,351,0.841652
0.0377570586535148,5,0,0.977687188673299,0.583218995558564,231,0.842108
0.0247617209679447,8,3,0.740423264387064,0.815383701378014,215,0.838687
0.0252106317854486,6,1,0.939178285850212,0.970402359301224,298,0.84122
0.0330080722598359,5,2,0.947300154741388,0.683016715405975,227,0.840422
0.0134315252513625,8,3,0.822064628850203,0.594129653426353,487,0.840232
0.024894285146147,8,0,0.771590452266391,0.922854608811904,213,0.839917
0.0374422409012914,7,2,0.916497074728832,0.895648959693499,152,0.84035
0.0372144890995696,6,3,0.957592089697719,0.651693972682115,208,0.842548
0.0276116007147357,5,0,0.763637396597769,0.917634868652094,369,0.840834
0.0120930025307462,6,2,0.948582216692157,0.715083376090042,602,0.840853
0.0396540321270004,6,3,0.814370986605063,0.797957046339288,150,0.839619
0.0199023673450574,5,2,0.751989270129707,0.61077019690536,355,0.841866
0.0182064439472742,5,1,0.873046369256917,0.827777613203507,483,0.841232
0.0215396862081252,5,3,0.88147131516831,0.892482477433514,406,0.841546
0.0241514353384264,5,0,0.97636619937839,0.79242269936949,304,0.839983
0.0349407631531358,6,2,0.809784780680202,0.55942136448808,257,0.842677
0.025825201657135,5,2,0.840631816249806,0.674594602580182,342,0.840886
0.0124441192671657,8,2,0.751232412036043,0.595709762126207,559,0.839688
0.0261401621671394,7,2,0.93614001509035,0.878295333578717,238,0.840003
0.0175748520507477,7,1,0.958055560288485,0.538024047897197,466,0.841593
0.0334334406233393,7,2,0.844323047068901,0.729459730179515,215,0.839847
0.0310968892462552,6,0,0.830872077275999,0.865172375834081,215,0.838666
0.0161311365361325,7,3,0.892406774207484,0.795366732142866,397,0.840849
0.0370482412795536,7,0,0.886932033724152,0.52519629007671,204,0.840548
0.038355562791694,6,2,0.972194758662954,0.676247225443367,171,0.840131
