"eta","max_depth","max_delta_step","subsample","colsample_bytree","best_itr","best_auc"
0.01983636128949,8,0,0.900318993243854,0.75303717844421,317,0.839171
0.0395706634968519,6,1,0.821559948439244,0.708988213746343,181,0.841588
0.0233501899708062,8,2,0.765827473760582,0.683079317575321,286,0.83912
0.0241614390700124,8,0,0.958299805819988,0.804037462593988,262,0.838904
0.0181493963650428,5,3,0.983913341825828,0.713031702630687,374,0.842125
0.0145708594750613,7,0,0.858520998270251,0.774278386805672,448,0.83973
0.0121072388021275,6,2,0.780120655070059,0.577249657502398,618,0.841408
0.0309631841513328,6,2,0.704888883964158,0.941778982216492,214,0.842419
0.0300268165394664,7,3,0.961722144295927,0.510436301170848,238,0.841357
0.035716787870042,8,0,0.732909558620304,0.98750123789534,178,0.839418
0.0265697880485095,5,0,0.896611524056643,0.946783704631962,316,0.842132
0.0341984428092837,5,1,0.913240370051935,0.61598735071253,255,0.841546
0.0162942802789621,6,1,0.916000701209996,0.640182370473631,499,0.841864
0.0217027366394177,5,0,0.97939384376863,0.948946004961617,474,0.83996
0.0124225041270256,8,2,0.745590448041912,0.503625726192258,608,0.840185
0.0346640948648564,5,2,0.791418247732799,0.538345508256461,249,0.840946
0.0334459700179286,8,3,0.915242325044237,0.942783722032327,154,0.838122
0.0110701627843082,5,2,0.941206549073104,0.907025470098015,929,0.839938
0.0344300861051306,8,0,0.840134992366657,0.889568725635763,137,0.838395
0.0313844092772342,5,0,0.871706101803575,0.960033528620843,229,0.839329
0.0106222209287807,5,0,0.904946638492402,0.502750140407588,922,0.841772
0.0210255484678783,5,0,0.812632040726021,0.663326693887357,355,0.840423
0.0179265733179636,7,1,0.770217345219571,0.571451156195253,430,0.841003
0.0174807405448519,6,3,0.841859041922726,0.699102767582517,385,0.841301
0.0165426748641767,8,1,0.810503627620637,0.510283121783286,491,0.839941
0.0262210562429391,6,1,0.79722402907908,0.539380681810435,398,0.841248
0.0191331761842594,8,0,0.934597270120867,0.690285107544623,313,0.838171
0.0233679467393085,6,1,0.961331120578107,0.726050730298739,354,0.842142
0.0391711962339468,5,3,0.722715208563022,0.809090116729494,191,0.840684
0.0124577128072269,6,0,0.839379069909919,0.757386240614578,614,0.842083
0.0360492375562899,8,1,0.896976898142602,0.956049699601717,189,0.838047
0.0341680172970518,5,2,0.925674052205868,0.719224000484683,258,0.841237
0.02387441881001,8,3,0.820592551173177,0.772035798423458,269,0.83959
0.0218362901685759,7,1,0.927187624641229,0.846057987310924,319,0.841375
0.0100996396224946,8,2,0.834579419051297,0.823992342823185,605,0.839543
0.0198792853648774,6,0,0.756143894835841,0.634905094292481,327,0.839991
0.0118703191890381,5,1,0.903867640881799,0.836009512171149,756,0.841322
0.0385244489763863,6,2,0.824931372317951,0.872715793433599,179,0.840611
0.0158428325946443,8,2,0.938798996114638,0.763586890094448,374,0.839
0.0137700258335099,7,1,0.829630184445996,0.737452807831578,581,0.840936
0.0335830690222792,8,1,0.71419729179237,0.979209980822634,201,0.838572
0.0160101477033459,8,0,0.969500430386979,0.570042534312233,463,0.838988
0.0101752661471255,6,2,0.781005454980768,0.626885675888043,674,0.840611
0.0310264606261626,8,2,0.79324509804137,0.818635379485786,191,0.840053
0.0243664976791479,8,3,0.755386260184459,0.950945996090304,217,0.839583
0.0374135850532912,6,3,0.926506328361575,0.609024704701733,183,0.840847
